Sigma X Pos,Sigma Y Pos,Sigma X Vel,Sigma Y Vel,Sigma X Acc,Sigma Y Acc
20.0000020922 ,  20.0000020922 ,  0.110052262137 ,  0.110052262137 ,  0.200009999996 ,  0.200009999996
11.1216379385 ,  11.1216379385 ,  0.18245776626 ,  0.18245776626 ,  0.299995206753 ,  0.299995206753
7.7225231778 ,  7.7225231778 ,  0.318629169252 ,  0.318629169252 ,  0.397748924672 ,  0.397748924672
5.95442392334 ,  5.95442392334 ,  0.522620474639 ,  0.522620474639 ,  0.493017948666 ,  0.493017948666
4.91744048 ,  4.91744048 ,  0.805307312284 ,  0.805307312284 ,  0.584873766967 ,  0.584873766967
4.30982444345 ,  4.30982444345 ,  1.17822436174 ,  1.17822436174 ,  0.671776876311 ,  0.671776876311
4.02225538157 ,  4.02225538157 ,  1.64542807312 ,  1.64542807312 ,  0.751317549582 ,  0.751317549582
4.01642091914 ,  4.01642091914 ,  2.18956716105 ,  2.18956716105 ,  0.820221228088 ,  0.820221228088
4.24478406776 ,  4.24478406776 ,  2.74936914741 ,  2.74936914741 ,  0.875448198614 ,  0.875448198614
4.56355518157 ,  4.56355518157 ,  3.21245725304 ,  3.21245725304 ,  0.917232542045 ,  0.917232542045
4.93142989217 ,  4.93142989217 ,  3.56845153602 ,  3.56845153602 ,  0.94769176103 ,  0.94769176103
5.35690642363 ,  5.35690642363 ,  3.83447300355 ,  3.83447300355 ,  0.968797277373 ,  0.968797277373
5.76265773713 ,  5.76265773713 ,  3.99499393001 ,  3.99499393001 ,  0.983720203364 ,  0.983720203364
6.2006058372 ,  6.2006058372 ,  4.09747562369 ,  4.09747562369 ,  0.994032901793 ,  0.994032901793
6.54275748216 ,  6.54275748216 ,  4.12510796454 ,  4.12510796454 ,  1.002771415 ,  1.002771415
6.83336632819 ,  6.83336632819 ,  4.12732059655 ,  4.12732059655 ,  1.01118130627 ,  1.01118130627
7.14842589928 ,  7.14842589928 ,  4.15188379971 ,  4.15188379971 ,  1.01812977835 ,  1.01812977835
7.33037129675 ,  7.33037129675 ,  4.16050090466 ,  4.16050090466 ,  1.02488345772 ,  1.02488345772
7.47427799721 ,  7.47427799721 ,  4.19337633281 ,  4.19337633281 ,  1.03089261314 ,  1.03089261314
7.60243955712 ,  7.60243955712 ,  4.25489744685 ,  4.25489744685 ,  1.03510754742 ,  1.03510754742
7.81817734383 ,  7.81817734383 ,  4.37225856243 ,  4.37225856243 ,  1.03474133298 ,  1.03474133298
7.88330284783 ,  7.88330284783 ,  4.44829535753 ,  4.44829535753 ,  1.03228515646 ,  1.03228515646
8.04431327096 ,  8.04431327096 ,  4.56169270502 ,  4.56169270502 ,  1.02578975328 ,  1.02578975328
8.05540585641 ,  8.05540585641 ,  4.61378273386 ,  4.61378273386 ,  1.01865031422 ,  1.01865031422
8.14956282349 ,  8.14956282349 ,  4.68362973375 ,  4.68362973375 ,  1.009613813 ,  1.009613813
8.28008529063 ,  8.28008529063 ,  4.74720434317 ,  4.74720434317 ,  0.998357430101 ,  0.998357430101
8.33688155853 ,  8.33688155853 ,  4.76737629677 ,  4.76737629677 ,  0.987165494271 ,  0.987165494271
8.31355805319 ,  8.31355805319 ,  4.74982529601 ,  4.74982529601 ,  0.978224928937 ,  0.978224928937
8.33717102827 ,  8.33717102827 ,  4.74131940906 ,  4.74131940906 ,  0.970603784263 ,  0.970603784263
8.41415970894 ,  8.41415970894 ,  4.74373420537 ,  4.74373420537 ,  0.963132869237 ,  0.963132869237
8.3323079989 ,  8.3323079989 ,  4.69392154875 ,  4.69392154875 ,  0.958994374818 ,  0.958994374818
8.36983253262 ,  8.36983253262 ,  4.68653960251 ,  4.68653960251 ,  0.955526229866 ,  0.955526229866
8.42250602394 ,  8.42250602394 ,  4.68474632063 ,  4.68474632063 ,  0.952078096019 ,  0.952078096019
8.50247327262 ,  8.50247327262 ,  4.69305409962 ,  4.69305409962 ,  0.9480053955 ,  0.9480053955
8.35198495823 ,  8.35198495823 ,  4.6341405331 ,  4.6341405331 ,  0.947707833001 ,  0.947707833001
8.46898311665 ,  8.46898311665 ,  4.66725822942 ,  4.66725822942 ,  0.94567547992 ,  0.94567547992
8.50343323481 ,  8.50343323481 ,  4.67227369921 ,  4.67227369921 ,  0.943223421007 ,  0.943223421007
8.50351608241 ,  8.50351608241 ,  4.668401178 ,  4.668401178 ,  0.941153658389 ,  0.941153658389
8.50823971924 ,  8.50823971924 ,  4.66799377172 ,  4.66799377172 ,  0.939318259472 ,  0.939318259472
8.53208297494 ,  8.53208297494 ,  4.67402055943 ,  4.67402055943 ,  0.937279737969 ,  0.937279737969
8.35375247027 ,  8.35375247027 ,  4.61894413517 ,  4.61894413517 ,  0.938896453713 ,  0.938896453713
8.48190893704 ,  8.48190893704 ,  4.66348218211 ,  4.66348218211 ,  0.938097326606 ,  0.938097326606
8.49316187193 ,  8.49316187193 ,  4.6647865162 ,  4.6647865162 ,  0.936994219459 ,  0.936994219459
8.61172397083 ,  8.61172397083 ,  4.69762352009 ,  4.69762352009 ,  0.933803533756 ,  0.933803533756
8.68449200083 ,  8.68449200083 ,  4.71174500967 ,  4.71174500967 ,  0.929567020547 ,  0.929567020547
8.33156626287 ,  8.33156626287 ,  4.59930408631 ,  4.59930408631 ,  0.932648162822 ,  0.932648162822
8.41918094377 ,  8.41918094377 ,  4.63424964511 ,  4.63424964511 ,  0.934172813745 ,  0.934172813745
8.49467809366 ,  8.49467809366 ,  4.6581138125 ,  4.6581138125 ,  0.933896358663 ,  0.933896358663
