x_pos,x_vel,x_acc,y_pos,y_vel,y_acc,x_obs,y_obs
-292.325567998,-3.188135266,-6.7892222568,388.156449358,-10.0726268839,-6.1344982969,-298.112197525,396.433211762
-305.388602736,-17.0551743147,-11.4996008383,394.268611403,-0.3550400178,0.6028751901,-287.285244126,385.946326406
-286.794743612,6.7111931173,3.7224786035,380.182817971,-13.9958079604,-6.3948585508,-274.760275056,398.360219395
-261.804896945,28.9705646745,13.6044068927,401.145934388,12.3616736068,8.5312494466,-257.973101452,393.499320654
-232.515605232,44.6464516504,16.748185889,397.536030408,4.9141314176,2.2576203629,-239.884790304,398.869159049
-218.540963815,41.7400229742,10.9063704345,402.508442535,8.1995965314,3.3144389151,-239.676346958,406.355203712
-224.582030619,13.4889415061,-6.1233895233,415.869130293,17.025318612,6.4139530813,-220.73695893,389.756401708
-210.37672762,16.0795682068,-3.0412425126,381.542867227,-23.0059577563,-14.5175860056,-204.519114956,395.859695321
-189.812581304,23.8202076955,1.5156484458,388.519526785,-8.8279283494,-3.3799044562,-195.742132414,394.606999987
-184.681383771,15.0526982351,-3.0628275235,392.831143108,-0.9881401847,1.320510339,-183.519172691,388.394955596
-171.689655577,14.7127911212,-2.1616430924,383.76936852,-7.7019161209,-2.1193322059,-162.60213151,386.418926514
-147.477912224,27.8148511159,4.4948028717,383.22071826,-4.7920587569,-0.1785792041,-150.791247025,401.392174888
-135.416853193,25.3205313506,2.0121285014,410.049355215,23.5587740381,13.437252687,-127.468934886,395.319677624
-108.578627385,39.0211064246,8.3196582471,401.808177925,7.6381695692,1.7476660601,-115.099125344,384.246566401
-92.9526619125,33.379975992,2.9469191434,376.735956763,-20.8805407614,-12.7226945712,-105.55602242,381.711233344
-93.2864035791,13.7514519801,-7.3759709937,369.51092136,-20.5752434479,-8.6476517664,-88.0783419324,383.758691359
-74.3056068083,17.2367472815,-3.2544656391,379.25944434,-1.9776781944,2.6276103803,-66.462785495,370.355243158
-42.1840219597,28.4132501962,2.4450906781,358.544738513,-15.6499793723,-3.8432747859,-59.0636292248,348.833690148
-52.1272513982,3.5886087528,-8.2850096884,325.610226171,-34.1227212627,-10.0164352143,-36.5041270709,339.441178332
-21.2903195962,21.8964111132,1.90892735,321.927182459,-20.0798649306,-0.9918731258,-27.8066060534,319.498071805
-16.7955993968,12.9817842742,-2.455668589,302.26158952,-24.6621678151,-2.6188866964,-22.4196413033,309.620578482
-18.1460560187,1.0992630798,-6.3654214048,294.817449077,-14.3363188514,2.4969762885,-15.2913577297,286.022644541
-13.5925098452,0.0489184146,-4.5076961838,263.425097752,-26.8754373792,-3.2263361411,-2.1396551293,258.912515891
10.2838131306,14.7078712161,2.535341187,224.638418972,-37.6571036008,-6.0013894769,2.9499923567,248.345626203
8.2242008911,5.8950301091,-1.7096421576,239.008158498,-7.5842958245,7.7208847574,-4.7197049471,222.519522961
-10.8977746946,-14.991668972,-10.1828589648,206.467316299,-27.2108841959,-3.0727493673,-12.4634420197,205.031538868
-26.9950604896,-24.7700111792,-11.3073263876,183.71583797,-31.7225771678,-4.1039294405,-16.6899433131,185.850249561
-31.2323028466,-16.4773654894,-3.7413902276,158.558034566,-31.5678189575,-2.5368612007,-24.2075191523,159.614106068
-31.1464146807,-8.0711207326,0.9194929253,136.234922718,-31.7824558543,-1.8361669036,-31.974705158,147.510337995
-37.9583952389,-8.7252073632,0.3579488666,133.996369593,-15.5269527667,5.8080625447,-32.1692289006,135.969612102
-33.5213675014,0.8379260049,4.5322240618,128.180528698,-8.3306320033,7.2308679676,-33.1325672054,111.985151721
-29.7363589328,5.9083812229,4.8211820137,86.4778166835,-31.2463385763,-4.8056016835,-52.1710536351,89.4945447266
Exiting due to keyboard interrupt.,,,,,,,
